lead_time,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests
203,2,49,2,2,5,2,0.0,0,0,3,1,0,0,0,5,5,4,0,0,2,66.8,0,0
82,5,29,16,0,3,2,0.0,0,0,6,3,0,0,0,0,0,0,0,0,2,76.5,0,0
25,2,53,27,0,3,3,0.0,0,0,5,3,0,0,0,0,9,2,0,0,3,60.0,0,1
1,7,11,9,0,1,1,0.0,0,0,6,3,0,0,0,0,0,0,0,0,3,95.0,0,0
70,0,16,16,2,2,2,0.0,0,3,6,3,0,0,0,0,0,0,0,0,2,108.0,0,0
170,0,17,27,0,3,2,0.0,0,0,6,3,0,0,0,3,3,0,0,0,2,130.5,0,0
21,7,10,4,0,1,1,0.0,0,0,6,3,0,0,0,0,0,0,0,0,3,85.0,0,0
102,10,42,16,0,2,2,0.0,0,2,5,3,0,0,0,0,3,0,0,0,3,109.0,0,0
55,9,47,19,2,5,2,0.0,0,2,6,3,0,0,0,3,3,1,0,0,2,67.44,0,0
222,11,38,14,1,1,2,0.0,0,2,4,3,0,0,0,0,0,0,0,0,2,80.0,0,0
120,2,53,26,1,3,2,0.0,0,0,6,3,0,0,0,3,3,0,0,0,3,54.8,1,3
88,3,7,17,0,2,2,0.0,0,3,6,3,0,0,0,0,0,0,0,0,2,79.2,0,0
79,2,52,24,2,5,2,0.0,0,2,5,3,0,0,0,0,0,0,0,0,2,57.29,0,2
41,1,34,15,1,2,2,0.0,0,0,5,3,0,0,0,0,0,0,0,0,2,76.5,0,0
239,10,42,17,0,1,2,0.0,0,0,4,3,0,1,0,0,0,0,1,0,2,60.0,0,0
23,0,16,20,0,2,2,0.0,0,0,4,1,0,0,0,0,0,0,0,0,3,99.0,1,0
34,2,50,9,0,1,2,0.0,0,0,6,3,0,0,0,0,3,0,0,0,2,48.0,0,1
38,8,19,6,2,3,2,1.0,0,2,6,3,0,0,0,0,0,0,0,0,2,149.68,0,0
160,5,28,15,2,5,2,0.0,0,0,6,3,0,0,0,0,0,0,0,0,2,78.35,0,1
32,10,44,27,2,5,2,0.0,0,0,3,1,0,0,0,5,5,0,0,0,2,91.85,1,0
56,7,14,29,0,4,2,0.0,0,0,6,3,0,0,0,0,0,0,0,0,2,58.0,1,1
97,10,41,5,1,3,1,0.0,0,0,4,3,0,0,0,0,0,0,1,0,2,140.0,0,0
85,0,16,19,1,4,2,0.0,0,0,3,1,0,0,0,4,4,2,0,0,3,74.6,0,1
278,5,30,26,0,4,3,0.0,0,0,6,3,0,0,0,3,3,0,0,0,2,165.6,0,2
175,1,33,10,0,4,2,0.0,0,0,6,3,0,0,0,0,0,0,0,0,2,99.45,0,0
26,8,21,22,1,1,2,0.0,0,0,5,3,0,0,0,0,0,0,1,0,2,128.0,0,0
360,10,42,12,1,1,2,0.0,0,0,4,3,0,1,0,0,0,0,1,0,0,62.0,0,0
378,9,45,1,0,2,2,0.0,0,0,4,3,0,0,0,0,0,0,1,0,2,46.0,0,0
32,4,5,24,2,1,2,0.0,0,0,2,0,0,0,0,0,0,1,0,15,3,64.0,0,0
165,2,53,30,0,4,1,0.0,0,4,4,3,0,0,0,0,0,0,0,122,3,0.0,0,0
4,1,35,25,0,4,2,0.0,0,0,4,3,0,0,0,0,0,0,0,0,3,62.0,0,0
179,5,27,1,0,2,2,0.0,0,0,4,3,0,0,0,0,0,0,1,0,2,65.0,0,0
349,10,41,4,1,5,2,0.0,0,0,5,3,0,0,0,0,0,0,0,162,3,123.33,0,0
47,3,8,18,0,3,2,0.0,0,0,6,3,0,0,0,3,3,0,0,0,2,90.3,0,0
237,11,38,14,1,2,1,0.0,0,0,6,3,0,0,0,0,0,0,0,0,3,80.75,0,0
31,11,40,27,0,1,2,0.0,0,0,6,3,0,0,0,0,3,0,0,0,2,126.0,0,0
158,5,27,1,1,2,2,2.0,0,0,6,3,0,0,0,5,5,0,0,0,2,168.3,0,1
25,2,51,13,0,4,1,0.0,0,0,6,3,0,0,0,0,0,0,0,0,2,79.9,0,1
386,10,44,23,2,0,2,0.0,0,2,5,3,0,0,0,0,0,0,0,0,3,115.0,0,1
10,11,38,13,0,2,2,0.0,0,0,6,3,0,0,0,0,0,0,0,0,2,109.0,0,0
76,7,13,20,2,3,2,0.0,0,0,6,3,0,0,0,3,3,1,0,0,2,110.15,0,1
42,0,16,21,1,2,2,0.0,0,0,6,3,0,0,0,3,3,0,0,0,2,156.67,0,2
